name,dom,V,E,MS_bef_MoveBlockG,MS_aft_MoveBlockG,MS_bef_MoveBlockF,MS_aft_MoveBlockF,SPAC_bef_MoveBlockG,SPAC_aft_MoveBlockG,SPAC_bef_MoveBlockF,SPAC_aft_MoveBlockF,SHEEP_bef_MoveBlockG,SHEEP_aft_MoveBlockG,SHEEP_bef_MoveBlockF,SHEEP_aft_MoveBlockF,NE_bef_MoveBlockG,NE_aft_MoveBlockG,NE_bef_MoveBlockF,NE_aft_MoveBlockF
adder-dcop-19,misc,1813,6383,2.01655,1.46608,2.01655,1.25207,1.84575,1.50046,1.84575,1.48134,1.42361,1.39051,1.42361,1.35797,1.72146,1.54550,1.72146,1.37694
adder-dcop-20,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.65361,1.51517,1.65361,1.47930
adder-dcop-21,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.96249,1.86433,1.96249,1.49200
adder-dcop-22,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.72090,1.61879,1.72090,1.38941
adder-dcop-23,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.73083,1.65789,1.73083,1.39768
adder-dcop-24,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.79482,1.70313,1.79482,1.31384
adder-dcop-25,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.74021,1.55521,1.74021,1.47711
adder-dcop-26,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.68836,1.62852,1.68836,1.40982
adder-dcop-27,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.74738,1.56729,1.74738,1.48207
adder-dcop-28,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.74297,1.61059,1.74297,1.46126
adder-dcop-29,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.80860,1.64932,1.80860,1.33867
adder-dcop-30,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.74297,1.55764,1.74297,1.45690
adder-dcop-31,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.72366,1.58950,1.72366,1.32819
adder-dcop-32,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.67071,1.59570,1.67071,1.46441
adder-dcop-33,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.87534,1.79747,1.87534,1.34584
adder-dcop-34,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.70270,1.54109,1.70270,1.45654
adder-dcop-35,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.92940,1.80916,1.92940,1.61948
adder-dcop-36,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.71815,1.54813,1.71815,1.35025
adder-dcop-37,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.69994,1.54371,1.69994,1.33370
adder-dcop-38,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.91120,1.81136,1.91120,1.69584
adder-dcop-39,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.72311,1.56205,1.72311,1.39194
adder-dcop-40,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.73414,1.58230,1.73414,1.33094
adder-dcop-41,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.80309,1.62594,1.80309,1.60011
adder-dcop-42,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.71649,1.64644,1.71649,1.45972
adder-dcop-43,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.81577,1.64462,1.81577,1.33260
adder-dcop-44,misc,1813,6383,2.01103,1.40485,2.01103,1.24104,1.83012,1.48865,1.83012,1.47514,1.42416,1.39051,1.42416,1.35411,2.12631,1.92287,2.12631,1.60563
adder-dcop-45,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.93712,1.76062,1.93712,1.22835
adder-dcop-46,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.71318,1.54937,1.71318,1.40210
adder-dcop-47,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.66133,1.55268,1.66133,1.42979
adder-dcop-48,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.76338,1.67843,1.76338,1.42648
adder-dcop-49,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.69939,1.62328,1.69939,1.34483
adder-dcop-50,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.80143,1.66078,1.80143,1.61115
adder-dcop-51,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.69829,1.59421,1.69829,1.44346
adder-dcop-52,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.78103,1.64368,1.78103,1.42612
adder-dcop-53,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.75345,1.58246,1.75345,1.49292
adder-dcop-54,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.92995,1.77220,1.92995,1.37457
adder-dcop-55,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.80254,1.64946,1.80254,1.39327
adder-dcop-56,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.72421,1.59515,1.72421,1.47316
adder-dcop-57,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.84060,1.62107,1.84060,1.39865
adder-dcop-58,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.71429,1.55819,1.71429,1.47411
adder-dcop-59,misc,1813,6384,2.04357,1.43078,2.04357,1.27413,1.83707,1.52072,1.83707,1.47740,1.42361,1.39051,1.42361,1.35797,1.65747,1.50745,1.65747,1.43532
